SU3,SU2,U1,lowest_dim,d3_ex,d4_ex,d5_ex,d6_ex,d7_ex,d8_ex,d9_ex,LP(mQ=1e17),E_num,E_den,N_num,N_den,LP(mQ=5e11),Nmax(mQ=5e11),Nmax(mQ=1e17),log10(mQmin (GeV))
15,1,-2,5,,,d*G*QLd,d^2*dd*QRd,6*d*G^2*QLd,2*dd^2*e*G*QLd,7*dd^2*e*G*p*QRd,2.8519745918775752e+32,5,3,10,1,8.346590631257825e+21,1,8,13
15,1,4,5,,,u*G*QLd,u*d*dd*QRd,6*u*G^2*QLd,2*d*ld^2*G*QLd,4*d*ld^2*G*p*QRd,1.2947753447536316e+27,20,3,10,1,7.634145581329074e+21,1,8,13
15,2,1,5,,,q*G*QRd,2*qd*u*d*QLd,qd*u*d*p*QRd,3*dd^2*l*G*QRd,7*dd^2*l*G*p*QLd,2.1339726295778485e+22,25,3,20,1,1908754687100404.0,1,4,15
3,1,-14,6,,,,d*e^2*QLd,ud^2*e*p*QRd,2*d*e^2*p^2*QLd,d*e^2*p^3*QRd,2.1718480079750164e+22,49,3,1,2,1.8850083726530102e+18,1,6,14
3,1,-8,6,,,,ud*dd*e*QLd,d*l^2*p*QRd,d*l^2*p^2*QLd,dd^2*l^2*e*QLd,3.015179687126984e+28,16,3,1,2,5.730252867667288e+25,3,21,7
3,1,10,6,,,,dd^2*ed*QRd,dd^2*ed*p*QLd,dd^2*ed*p^2*QRd,dd^2*ed*p^3*QLd,6.384234093381841e+25,25,3,1,2,3.170311854038003e+22,2,13,11
3,1,16,6,,,,u*ed^2*QLd,h*u*ld*ed*QRd,u*ed^2*p^2*QLd,d*ld^2*ed^2*QLd,1.7503883197658652e+21,64,3,1,2,8.728505014760518e+16,1,4,15
3,2,-11,6,,,,d*l*e*QRd,d*l*e*p*QLd,2*d*l*e*p^2*QRd,dd^2*l*e^2*QRd,4.0573751973135217e+21,65,3,1,1,2.274081038780511e+17,1,5,15
3,2,13,6,,,,u*ld*ed*QRd,u*ld*ed*p*QLd,2*u*ld*ed*p^2*QRd,dd^2*l*ed^2*QRd,2.7459338068344966e+20,89,3,1,1,8526003595058980.0,1,3,16
3,4,-11,6,,,,hd^3*d*QLd,hd*d*l^2*QLd,2*d*l*e*W*QRd,7*d*l*e*W*p*QLd,3.242685768314347e+19,166,3,2,1,582849533709882.1,1,2,16
3,4,13,6,,,,h^3*u*QLd,h*u*ld^2*QLd,2*u*ld*ed*W*QRd,7*u*ld*ed*W*p*QLd,6.698554368358262e+18,214,3,2,1,86516481048987.75,1,1,17
3,5,-8,6,,,,hd^3*q*QRd,hd*q*l^2*QRd,d*l^2*W*QLd,3*d*l^2*W*p*QRd,7.413312588820016e+19,170,3,5,2,143201313783164.34,1,2,16
3,5,-2,6,,,,hd*q*W*QRd,2*d*W^2*QLd,d*W^2*p*QRd,4*d*W^2*p^2*QLd,8.024074289262232e+19,95,3,5,2,149077188740071.56,1,2,16
3,5,4,6,,,,h*q*W*QRd,2*u*W^2*QLd,d*ld^2*W*QLd,3*d*ld^2*W*p*QRd,7.943810817744228e+19,110,3,5,2,148143436342244.22,1,2,16
3,5,10,6,,,,h^3*q*QRd,h*q*ld^2*QRd,u*ld^2*W*QLd,3*u*ld^2*W*p*QRd,2.4532795219867914e+19,215,3,5,2,136352315810829.02,1,2,16
6,1,-10,6,,,,d^2*e*QLd,ud^2*d*p*QRd,dd*e^2*G*QRd,3*dd*e^2*G*p*QLd,2.3419347392325577e+22,50,3,5,2,1.8638093219961485e+18,1,6,14
6,1,8,6,,,,u*d*ed*QRd,u*dd^2*p*QRd,dd*ld^2*G*QRd,4*dd*ld^2*G*p*QLd,3.3394405563060953e+24,32,3,5,2,7.841449018512499e+20,1,10,12
6,1,14,6,,,,u^2*ed*QRd,h*u^2*ld*QLd,dd*ed^2*G*QRd,3*dd*ed^2*G*p*QLd,9.676372637806941e+19,98,3,5,2,2336774648520789.0,1,3,16
6,2,-7,6,,,,d^2*l*QRd,qd*ud*d*p*QLd,2*dd*l*e*G*QLd,7*dd*l*e*G*p*QRd,3.3843969618353815e+22,58,3,5,1,2.741249536700499e+18,1,6,14
6,2,5,6,,,,2*u*d*ld*QLd,u*d*ld*p*QRd,3*dd*l*ed*G*QRd,7*dd*l*ed*G*p*QLd,8.364622444246895e+25,34,3,5,1,3.672446150971036e+22,2,13,11
6,2,11,6,,,,u^2*ld*QLd,q*u*ed*p*QRd,2*dd*ld*ed*G*QLd,7*dd*ld*ed*G*p*QRd,3.392751736703394e+19,130,3,5,1,622990639396336.4,1,2,16
6,3,-4,6,,,,qd^2*d*QLd,3*ud*W*G*QRd,dd*l^2*G*QRd,3*dd*l^2*G*p*QLd,3.4016141353050927e+25,20,1,15,2,9.287047063551302e+18,1,7,14
6,3,2,6,,,,qd^2*u*QLd,3*dd*W*G*QRd,4*dd*W*G*p*QLd,7*dd*W*G*p^2*QRd,3.7284234900312435e+25,14,1,15,2,9.60755896101557e+18,1,7,14
6,3,8,6,,,,q*u*ld*QRd,q*u*ld*p*QLd,dd*ld^2*G*QRd,3*dd*ld^2*G*p*QLd,1.3913489623418533e+20,44,1,15,2,3305563376129002.5,1,3,16
6,4,-1,6,,,,q^2*l*QRd,3*qd*W*G*QLd,d^2*ld*W*QLd,3*d^2*ld*W*p*QRd,9.213573416032577e+19,92,3,10,1,165882455048434.88,1,2,16
6,4,5,6,,,,q^2*ld*QLd,hd*q*u*ld*QRd,3*u*d*ld*W*QLd,7*u*d*ld*W*p*QRd,8.984894474290551e+19,140,3,10,1,163605213252695.12,1,2,16
8,1,-12,6,,,,ud*d*e*QRd,ud*d*e*p*QLd,l^2*e*G*QLd,4*l^2*e*G*p*QRd,1.2425618874060826e+20,32,1,3,1,3119900273396292.5,1,3,16
8,1,0,6,,,,2*ud*dd^2*QRd,ud*dd^2*p*QLd,2*ld^2*e*G*QLd,4*ld^2*e*G*p*QRd,5.31535239390565e+40,0,1,3,1,5.150959822788962e+40,4,29,4
8,1,12,6,,,,u*dd*ed*QLd,u*dd*ed*p*QRd,ld^2*ed*G*QRd,4*ld^2*ed*G*p*QLd,1.2425618874060826e+20,32,1,3,1,3119900273396292.5,1,3,16
8,2,-9,6,,,,ud*d*l*QLd,ud*d*l*p*QRd,ld*e^2*G*QLd,3*ld*e^2*G*p*QRd,6.961847615001606e+19,40,1,6,1,1478977778095985.0,1,3,16
8,2,9,6,,,,u*dd*ld*QRd,u*dd*ld*p*QLd,ld^3*G*QLd,2*ld^3*G*p*QRd,6.961847615001606e+19,40,1,6,1,1478977778095985.0,1,3,16
8,3,-6,6,,,,qd*d*l*QRd,3*e*W*G*QLd,4*e*W*G*p*QRd,7*e*W*G*p^2*QLd,1.1218551422550893e+21,40,1,9,1,3.751386700167056e+16,1,4,15
8,3,0,6,,,,2*qd*d*ld*QLd,qd*d*ld*p*QRd,ld^2*e*G*QLd,3*ld^2*e*G*p*QRd,1.3083223230558479e+23,16,1,9,1,8.033780650122814e+16,1,5,15
8,3,6,6,,,,2*qd*u*ld*QLd,3*ed*W*G*QRd,4*ed*W*G*p*QLd,7*ed*W*G*p^2*QRd,1.1218551422550893e+21,40,1,9,1,3.751386700167056e+16,1,4,15
8,4,-3,6,,,,qd^3*QLd,3*l*W*G*QRd,4*l*W*G*p*QLd,7*l*W*G*p^2*QRd,1.5294763925760842e+19,48,1,12,1,36260659223355.15,1,2,16
8,4,3,6,,,,q*qd*ld*QRd,3*ld*W*G*QLd,4*ld*W*G*p*QRd,7*ld*W*G*p^2*QLd,1.5294763925760842e+19,48,1,12,1,36260659223355.15,1,2,16
